id,gid,x,y,v_x,v_y,radius,time
4,4,-6.870860,-0.065838,1.073773,-0.017862,0.500000,1.000000
5,5,-4.855316,-4.791999,1.004714,1.052291,0.500000,1.000000
6,6,-0.005485,-6.783166,-0.004073,1.327006,0.500000,1.000000
7,7,4.817947,-4.874352,-0.903504,0.899900,0.500000,1.000000
0,0,6.658194,-0.026723,-1.230414,0.018257,0.500000,1.100000
1,1,4.723779,4.747271,-0.776638,-0.877692,0.500000,1.100000
2,2,-0.077649,6.596807,0.081675,-1.379221,0.500000,1.100000
3,3,-4.717866,4.732735,0.803595,-0.766883,0.500000,1.100000
4,4,-6.754251,-0.074883,1.166094,-0.090442,0.500000,1.100000
5,5,-4.781324,-4.692273,0.739923,0.997258,0.500000,1.100000
6,6,-0.000042,-6.642134,0.054429,1.410329,0.500000,1.100000
7,7,4.729989,-4.791879,-0.879577,0.824725,0.500000,1.100000
0,0,6.532560,-0.033934,-1.256334,-0.072108,0.500000,1.200000
1,1,4.636763,4.664391,-0.870163,-0.828801,0.500000,1.200000
2,2,-0.083413,6.456240,-0.057638,-1.405678,0.500000,1.200000
3,3,-4.634797,4.662158,0.830688,-0.705773,0.500000,1.200000
4,4,-6.637478,-0.063756,1.167730,0.111262,0.500000,1.200000
5,5,-4.699563,-4.593702,0.817606,0.985706,0.500000,1.200000
6,6,-0.005956,-6.511406,-0.059137,1.307276,0.500000,1.200000
7,7,4.617046,-4.715498,-1.129428,0.763811,0.500000,1.200000
0,0,6.400804,-0.047095,-1.317562,-0.131608,0.500000,1.300000
1,1,4.561003,4.572819,-0.757597,-0.915715,0.500000,1.300000
2,2,-0.083281,6.320022,0.001322,-1.362173,0.500000,1.300000
3,3,-4.548488,4.595426,0.863086,-0.667317,0.500000,1.300000
4,4,-6.511779,-0.023381,1.256983,0.403758,0.500000,1.300000
5,5,-4.609794,-4.488093,0.897692,1.056094,0.500000,1.300000
6,6,-0.012565,-6.420549,-0.066094,0.908569,0.500000,1.300000
7,7,4.537928,-4.635079,-0.791183,0.804187,0.500000,1.300000
0,0,6.255463,-0.042788,-1.453413,0.043070,0.500000,1.400000
1,1,4.485629,4.501776,-0.753745,-0.710437,0.500000,1.400000
2,2,-0.070985,6.163476,0.122958,-1.565469,0.500000,1.400000
3,3,-4.457197,4.532560,0.912911,-0.628660,0.500000,1.400000
4,4,-6.415908,-0.017180,0.958717,0.062009,0.500000,1.400000
5,5,-4.524315,-4.402304,0.854795,0.857891,0.500000,1.400000
6,6,-0.036129,-6.299450,-0.235641,1.210991,0.500000,1.400000
7,7,4.482203,-4.561390,-0.557245,0.736897,0.500000,1.400000
0,0,6.103323,-0.046484,-1.521401,-0.036968,0.500000,1.500000
1,1,4.406432,4.427935,-0.791966,-0.738406,0.500000,1.500000
2,2,-0.071879,6.022297,-0.008942,-1.411784,0.500000,1.500000
3,3,-4.358326,4.432291,0.988712,-1.002694,0.500000,1.500000
4,4,-6.317438,-0.026877,0.984697,-0.096975,0.500000,1.500000
5,5,-4.415844,-4.294637,1.084707,1.076664,0.500000,1.500000
6,6,-0.051408,-6.134068,-0.152786,1.653822,0.500000,1.500000
7,7,4.438863,-4.504404,-0.433404,0.569862,0.500000,1.500000
0,0,5.965371,-0.052099,-1.379521,-0.056147,0.500000,1.600000
1,1,4.327600,4.362001,-0.788320,-0.659343,0.500000,1.600000
2,2,-0.060892,5.882041,0.109869,-1.402559,0.500000,1.600000
3,3,-4.254957,4.377613,1.033692,-0.546773,0.500000,1.600000
4,4,-6.205290,-0.026319,1.121482,0.005587,0.500000,1.600000
5,5,-4.311769,-4.213745,1.040750,0.808922,0.500000,1.600000
6,6,-0.025190,-5.962357,0.262179,1.717108,0.500000,1.600000
7,7,4.372070,-4.434779,-0.667929,0.696244,0.500000,1.600000
0,0,5.831183,-0.066171,-1.341877,-0.140720,0.500000,1.700000
1,1,4.257939,4.275794,-0.696608,-0.862064,0.500000,1.700000
2,2,-0.055027,5.748679,0.058657,-1.333626,0.500000,1.700000
3,3,-4.151890,4.318923,1.030670,-0.586905,0.500000,1.700000
4,4,-6.101432,-0.025814,1.038575,0.005046,0.500000,1.700000
5,5,-4.208153,-4.131819,1.036166,0.819262,0.500000,1.700000
6,6,-0.001878,-5.809554,0.233117,1.528031,0.500000,1.700000
7,7,4.283976,-4.371971,-0.880944,0.628078,0.500000,1.700000
0,0,5.697364,-0.064802,-1.338188,0.013692,0.500000,1.800000
1,1,4.204701,4.207027,-0.532389,-0.687670,0.500000,1.800000
2,2,-0.057862,5.603633,-0.028355,-1.450454,0.500000,1.800000
3,3,-4.047432,4.261815,1.044576,-0.571080,0.500000,1.800000
4,4,-5.999927,-0.030502,1.015048,-0.046884,0.500000,1.800000
5,5,-4.120965,-4.048935,0.871880,0.828838,0.500000,1.800000
6,6,0.014140,-5.660836,0.160188,1.487182,0.500000,1.800000
7,7,4.215270,-4.309169,-0.687056,0.628019,0.500000,1.800000
0,0,5.569419,-0.052627,-1.279450,0.121753,0.500000,1.900000
1,1,4.124269,4.127982,-0.804311,-0.790451,0.500000,1.900000
2,2,-0.051641,5.464297,0.062212,-1.393362,0.500000,1.900000
3,3,-3.943246,4.188678,1.041863,-0.731367,0.500000,1.900000
4,4,-5.897988,-0.048785,1.019397,-0.182825,0.500000,1.900000
5,5,-4.040050,-3.954737,0.809144,0.941975,0.500000,1.900000
6,6,0.019439,-5.520485,0.052989,1.403512,0.500000,1.900000
