id,gid,x,y,v_x,v_y,radius,time
1,0,-5.599485,1.329346,1.071228,0.252615,0.750000,2.600000
2,1,-3.259613,-0.092169,-1.400002,-0.012024,0.750000,2.600000
0,0,-5.744488,-1.412123,1.270894,-0.371518,0.750000,2.700000
1,0,-5.471382,1.351818,1.281024,0.224715,0.750000,2.700000
2,1,-3.397432,-0.099681,-1.378187,-0.075114,0.750000,2.700000
0,0,-5.594598,-1.450393,1.498892,-0.382704,0.750000,2.800000
1,0,-5.326734,1.356442,1.446487,0.046239,0.750000,2.800000
2,1,-3.528873,-0.096802,-1.314413,0.028789,0.750000,2.800000
0,0,-5.463172,-1.469597,1.314260,-0.192040,0.750000,2.900000
1,0,-5.219918,1.376301,1.068152,0.198599,0.750000,2.900000
2,1,-3.652830,-0.103387,-1.239572,-0.065845,0.750000,2.900000
0,0,-5.339833,-1.516972,1.233395,-0.473747,0.750000,3.000000
1,0,-5.117706,1.397908,1.022122,0.216069,0.750000,3.000000
2,1,-3.790449,-0.094271,-1.376189,0.091154,0.750000,3.000000
0,0,-5.221929,-1.537283,1.179040,-0.203113,0.750000,3.100000
1,0,-4.997710,1.408868,1.199965,0.109595,0.750000,3.100000
2,1,-3.932867,-0.075636,-1.424183,0.186349,0.750000,3.100000
0,0,-5.106937,-1.548105,1.149923,-0.108214,0.750000,3.200000
1,0,-4.881377,1.441142,1.163328,0.322745,0.750000,3.200000
2,1,-4.058492,-0.086945,-1.256247,-0.113090,0.750000,3.200000
0,0,-4.965419,-1.572003,1.415180,-0.238984,0.750000,3.300000
1,0,-4.760772,1.468141,1.206046,0.269991,0.750000,3.300000
2,1,-4.190346,-0.072494,-1.318544,0.144513,0.750000,3.300000
0,0,-4.836248,-1.585975,1.291702,-0.139722,0.750000,3.400000
1,0,-4.634192,1.493790,1.265804,0.256488,0.750000,3.400000
2,1,-4.312337,-0.095983,-1.219906,-0.234887,0.750000,3.400000
0,0,-4.722118,-1.616013,1.141302,-0.300378,0.750000,3.500000
1,0,-4.491188,1.503343,1.430034,0.095526,0.750000,3.500000
2,1,-4.468740,-0.098763,-1.564030,-0.027801,0.750000,3.500000
0,0,-4.585434,-1.626304,1.366838,-0.102913,0.750000,3.600000
1,0,-4.362286,1.512599,1.289026,0.092564,0.750000,3.600000
2,1,-4.606320,-0.069197,-1.375798,0.295656,0.750000,3.600000
0,0,-4.443176,-1.613190,1.422582,0.131146,0.750000,3.700000
1,0,-4.227669,1.512035,1.346167,-0.005643,0.750000,3.700000
2,1,-4.736508,-0.067198,-1.301884,0.019992,0.750000,3.700000
0,0,-4.336175,-1.608786,1.070010,0.044038,0.750000,3.800000
1,0,-4.092367,1.524468,1.353016,0.124332,0.750000,3.800000
2,1,-4.870152,-0.067370,-1.336436,-0.001718,0.750000,3.800000
0,0,-4.222196,-1.613581,1.139790,-0.047952,0.750000,3.900000
1,0,-3.939211,1.503682,1.531565,-0.207857,0.750000,3.900000
2,1,-4.998945,-0.103907,-1.287933,-0.365376,0.750000,3.900000
0,0,-4.095843,-1.627812,1.263535,-0.142309,0.750000,4.000000
1,0,-3.810832,1.508863,1.283786,0.051811,0.750000,4.000000
2,1,-5.124076,-0.109278,-1.251305,-0.053704,0.750000,4.000000
0,0,-3.965557,-1.648380,1.302858,-0.205683,0.750000,4.100000
1,0,-3.684200,1.516221,1.266324,0.073578,0.750000,4.100000
2,1,-5.249750,-0.111626,-1.256743,-0.023478,0.750000,4.100000
0,0,-3.836219,-1.668952,1.293383,-0.205715,0.750000,4.200000
1,0,-3.561735,1.523631,1.224652,0.074100,0.750000,4.200000
2,1,-5.377657,-0.095719,-1.279069,0.159070,0.750000,4.200000
0,0,-3.704528,-1.691490,1.316910,-0.225382,0.750000,4.300000
1,0,-3.451803,1.516439,1.099317,-0.071925,0.750000,4.300000
2,1,-5.518052,-0.085109,-1.403948,0.106093,0.750000,4.300000
0,0,-3.570738,-1.685628,1.337897,0.058614,0.750000,4.400000
1,0,-3.338523,1.517390,1.132805,0.009517,0.750000,4.400000
2,1,-5.654378,-0.066533,-1.363263,0.185763,0.750000,4.400000
0,0,-3.439025,-1.687778,1.317127,-0.021499,0.750000,4.500000
1,0,-3.224626,1.524492,1.138962,0.071011,0.750000,4.500000
2,1,-5.793787,-0.055139,-1.394086,0.113943,0.750000,4.500000
0,0,-3.297079,-1.693019,1.419462,-0.052402,0.750000,4.600000
1,0,-3.098971,1.516413,1.256548,-0.080787,0.750000,4.600000
2,1,-5.933350,-0.060808,-1.395633,-0.056692,0.750000,4.600000
0,0,-3.170981,-1.695915,1.260984,-0.028960,0.750000,4.700000
1,0,-2.960957,1.512231,1.380146,-0.041823,0.750000,4.700000
2,1,-6.084108,-0.055704,-1.507578,0.051043,0.750000,4.700000
0,0,-3.061568,-1.701122,1.094129,-0.052070,0.750000,4.800000
1,0,-2.840720,1.514060,1.202371,0.018298,0.750000,4.800000
2,1,-6.205746,-0.048749,-1.216385,0.069550,0.750000,4.800000
0,0,-2.951676,-1.707535,1.098918,-0.064131,0.750000,4.900000
1,0,-2.736488,1.507298,1.042321,-0.067623,0.750000,4.900000
2,1,-6.348271,-0.045302,-1.425243,0.034466,0.750000,4.900000
0,0,-2.826801,-1.696706,1.248749,0.108290,0.750000,5.000000
1,0,-2.625916,1.510451,1.105721,0.031533,0.750000,5.000000
2,1,-6.472567,-0.041555,-1.242965,0.037467,0.750000,5.000000
0,0,-2.684874,-1.685455,1.419273,0.112511,0.750000,5.100000
1,0,-2.510069,1.512216,1.158466,0.017644,0.750000,5.100000
2,1,-6.582346,-0.042426,-1.097793,-0.008705,0.750000,5.100000
0,0,-2.536854,-1.686666,1.480200,-0.012116,0.750000,5.200000
1,0,-2.398941,1.522639,1.111276,0.104231,0.750000,5.200000
2,1,-6.701643,-0.055019,-1.192963,-0.125931,0.750000,5.200000
0,0,-2.397694,-1.685148,1.391600,0.015183,0.750000,5.300000
1,0,-2.291139,1.522470,1.078020,-0.001687,0.750000,5.300000
2,1,-6.817144,-0.049631,-1.155012,0.053885,0.750000,5.300000
0,0,-2.267984,-1.687829,1.297097,-0.026812,0.750000,5.400000
1,0,-2.160642,1.516416,1.304973,-0.060543,0.750000,5.400000
2,1,-6.928365,-0.071154,-1.112208,-0.215234,0.750000,5.400000
0,0,-2.147888,-1.681113,1.200965,0.067162,0.750000,5.500000
1,0,-2.043256,1.503472,1.173860,-0.129438,0.750000,5.500000
2,1,-7.059893,-0.091497,-1.315282,-0.203431,0.750000,5.500000
0,0,-2.033698,-1.673921,1.141894,0.071918,0.750000,5.600000
1,0,-1.916088,1.510160,1.271683,0.066875,0.750000,5.600000
2,1,-7.185948,-0.115690,-1.260555,-0.241926,0.750000,5.600000
0,0,-1.915377,-1.674076,1.183217,-0.001554,0.750000,5.700000
1,0,-1.786428,1.513169,1.296597,0.030099,0.750000,5.700000
2,1,-7.320457,-0.122973,-1.345080,-0.072833,0.750000,5.700000
0,0,-1.785346,-1.684378,1.300306,-0.103013,0.750000,5.800000
1,0,-1.648073,1.490506,1.383547,-0.226632,0.750000,5.800000
2,1,-7.442792,-0.119277,-1.223356,0.036956,0.750000,5.800000
